"id","動畫名","總觀看數","平均觀看數","年份","月份","集數","星級","評分人數","導演監督","台灣代理","製作廠商","作品分類1","作品分類2","作品分類3","作品分類4","作品分類5","作品分類6","原作載體","新續作"
1,"獻祭公主與獸王",407000,16958,"2023","04",24,"4.9",2068,"今千秋","ANIPLUS","J.C.STAFF","奇幻","戀愛",NULL,NULL,NULL,NULL,"漫畫改編","新作"
2,"國王排名 勇氣的寶箱",303000,30300,"2023","04",10,"4.5",1995,"八田洋介","羚邦","WIT STUDIO","冒險","奇幻","勵志","溫馨",NULL,NULL,"漫畫改編","續作"
3,"魔術士歐菲 流浪之旅 聖域篇",37000,3083,"2023","04",12,"3.2",216,"濱名孝行","羚邦","Studio DEEN","冒險","奇幻",NULL,NULL,NULL,NULL,"小說改編","續作"
4,"【我推的孩子】",7065000,642273,"2023","04",11,"4.9",52618,"平牧大輔","羚邦","動畫工房 (DOGAKOBO)","親情","偶像","懸疑",NULL,NULL,NULL,"漫畫改編","新作"
5,"屍體如山的死亡遊戲",2678000,133900,"2023","04",20,"4.8",10096,"小野學","羚邦","GEEK TOYS","動作","冒險","異世界","血腥暴力",NULL,NULL,"漫畫改編","續作"
6,"境界服務",13000,1083,"2023","04",12,"3.8",84,"迫井政行","ANIPLUS","Studio 3Hz","動作","科幻","喜劇","職場",NULL,NULL,"原創作品","新作"
7,"她去公爵家的理由",613000,51083,"2023","04",12,"4.6",2508,"山元隼一","曼迪","颱風Graphics","異世界","戀愛","推理",NULL,NULL,NULL,"小說改編","新作"
8,"放學後失眠的你",467000,35923,"2023","04",13,"4.9",4467,"池田由紀","木棉花","LIDENFILMS","校園","戀愛","青春",NULL,NULL,NULL,"漫畫改編","新作"
9,"鬼滅之刃 刀匠村篇",5488000,498909,"2023","04",11,"4.8",18562,"外崎春雄","木棉花","ufotable","動作","冒險","奇幻","血腥暴力",NULL,NULL,"漫畫改編","續作"
10,"藍色管弦樂",243000,10125,"2023","04",24,"4.8",1029,"岸誠二","ANIPLUS","日本動畫公司","校園","青春","音樂",NULL,NULL,NULL,"漫畫改編","新作"
11,"鄰人似銀河",524000,43667,"2023","04",12,"4.8",4008,"木村隆一","羚邦","旭Production","戀愛","溫馨",NULL,NULL,NULL,NULL,"漫畫改編","新作"
12,"機動戰士鋼彈 水星的魔女 Season 2",1451000,120917,"2023","04",12,"4.9",8597,"⼩林寬","羚邦","SUNRISE","科幻","機甲","校園","戰爭",NULL,NULL,"原創作品","續作"
