標籤,最低,平均,中位數,最高
血腥暴力,1.8,31.0,19.0,93.3
戀愛,1.7,14.9,12.7,77.6
親情,0.1,14.1,7.7,70.4
偶像,0.6,6.7,2.4,64.2
青春,0.7,14.4,8.0,63.3
音樂,0.4,8.9,2.1,63.2
魔法,1.2,21.1,16.5,61.8
戰爭,1.6,15.6,6.8,59.3
喜劇,0.1,15.2,11.0,53.3
異世界,3.6,15.8,12.5,48.4
科幻,0.1,8.3,2.9,47.8
時間穿越,2.4,15.7,15.5,32.5
冒險,1.4,12.1,7.8,31.6
運動,0.6,5.9,2.5,31.5
黑暗,2.9,12.2,9.2,31.2
溫馨,0.3,9.5,7.4,30.5
靈異神怪,1.4,8.2,6.1,29.0
料理,2.1,12.7,13.0,28.9
勵志,3.0,13.8,11.1,26.4
18禁,1.7,9.8,8.6,25.6
悠閒,0.4,4.5,2.6,24.1
超能力,0.3,12.1,14.6,23.9
奇幻,0.3,6.2,2.9,23.3
職場,0.1,6.5,5.4,21.2
懸疑,1.0,6.4,4.8,17.4
GL,0.6,8.8,8.8,16.9
推理,4.0,7.8,5.9,16.2
感人,2.5,9.9,12.9,16.2
闔家觀賞,0.0,2.2,0.6,13.2
特攝,7.8,9.1,9.1,10.4
校園,9.7,9.7,9.7,9.7
泡麵番,0.1,2.3,1.1,8.3
BL,1.8,4.8,4.7,7.8
歷史,0.2,2.3,1.6,7.7
機甲,0.2,2.3,2.3,4.7
競技,0.2,1.5,1.2,4.5
動作,1.0,1.2,1.0,1.6
