動畫公司,最低(萬),平均(萬),中位數(萬),最高(萬),作品數
J.C.STAFF,0.6,11.0,9.7,31.6,15
A-1 Pictures,2.3,26.4,19.7,77.6,13
LIDENFILMS,0.7,6.2,2.5,20.3,13
CloverWorks,1.1,20.0,11.25,63.3,12
TMS Entertainment,0.7,8.6,7.7,23.2,10
SUNRISE,0.7,6.0,4.5,18.1,10
MAPPA,2.6,26.7,13.6,93.3,9
MADHOUSE,2.9,10.5,4.15,34.6,8
C2C,0.8,12.7,7.7,28.1,7
BONES,1.3,13.9,15.5,23.9,7
SILVER LINK.,1.5,24.7,17.6,53.3,7
動画工房,4.5,15.0,14.899999999999999,28.0,6
project No.9,0.9,14.8,15.100000000000001,30.5,6
EMT Squared,0.7,12.3,13.0,21.2,6
Production I.G,2.6,14.6,8.85,31.5,6
OLM,0.7,5.1,3.4,13.2,5
8bit,5.4,28.5,24.7,61.8,5
david production,1.6,5.0,3.1,13.2,5
新銳動畫,0.1,4.9,0.7,19.2,5
Passione,4.5,16.8,16.8,29.0,4
Studio DEEN,0.3,2.1,1.1,5.8,4
MAHO FILM,8.1,13.7,13.3,20.0,4
diomedéa,0.6,12.8,16.15,18.3,4
Lerche,2.3,16.0,15.2,31.2,4
ufotable,4.4,44.1,39.65,92.8,4
亞細亞堂,7.0,11.8,12.55,15.0,4
ENGI,0.2,9.8,11.3,16.2,4
STUDIO DEEN,1.1,2.2,2.05,3.7,4
BN Pictures,1.3,4.0,3.7,7.2,4
WIT STUDIO,3.0,21.3,26.4,34.6,3
動畫工房,0.6,2.6,2.1,5.2,3
Kinema Citrus,0.7,8.1,1.0,22.5,3
Studio 五組,1.8,4.3,3.1,8.0,3
feel.,5.1,14.7,15.5,23.4,3
Lay-duce,0.7,3.9,1.1,9.9,3
Studio KAI,2.0,5.3,6.8,7.2,3
ENCOURAGE FILMS,4.6,7.9,7.5,11.7,3
三次元,1.0,3.2,2.7,5.8,3
ILCA,0.6,0.8,0.7,1.0,3
P.A. WORKS,4.5,9.1,10.1,12.7,3
P.A.WORKS,1.6,4.2,4.7,6.3,3
Brain's Base,7.3,11.2,12.9,13.5,3
SATELIGHT,2.2,8.9,8.5,16.0,3
SHAFT,1.7,3.8,2.9,6.7,3
旭Production,2.8,4.6,4.4,6.7,3
C-Station,0.4,6.7,6.6,13.0,3
ZERO-G,0.6,10.7,7.5,24.1,3
HOTLINE,3.9,9.0,8.95,14.0,2
Shambhoo S.Phaike,0.1,0.1,0.1,0.1,2
Nexus,28.5,36.0,35.95,43.4,2
旭 Production,0.8,4.3,4.3,7.8,2
Studio 3Hz,0.1,3.4,3.3499999999999996,6.6,2
白組,0.1,0.2,0.25,0.4,2
Fanworks、SPACE NEKO COMPANY,0.5,1.2,1.15,1.8,2
TROYCA,1.9,2.8,2.8,3.7,2
St.Signpost,4.5,5.6,5.65,6.8,2
PINE JAM,11.8,14.7,14.700000000000001,17.6,2
Platinum Vision,4.8,5.0,5.05,5.3,2
NAZ,1.3,6.4,6.4,11.5,2
Bibury Animation Studios,0.1,1.3,1.3,2.5,2
Quad,6.8,7.3,7.3,7.8,2
REVOROOT,12.5,17.4,17.4,22.3,2
SANZIGEN,1.2,2.0,2.0,2.8,2
Telecom Animation Film,1.7,8.2,8.15,14.6,2
WHITE FOX,12.7,29.8,29.85,47.0,2
Drive,4.7,12.7,12.7,20.7,2
SILVER LINK.×BLADE,4.4,11.6,11.55,18.7,2
NOMAD,0.2,0.5,0.5,0.8,2
Bridge,0.0,7.1,7.1,14.2,2
GEEK TOYS,8.3,10.9,10.850000000000001,13.4,2
Studio Pierrot,5.0,12.6,12.65,20.3,2
ZEXCS,1.6,2.4,2.4000000000000004,3.2,2
BAKKEN RECORD,1.3,1.4,1.35,1.4,2
Kinema Citrus、ぎふとアニメーション、STUDIOJEMI,0.3,0.4,0.44999999999999996,0.6,2
日本 Animation,0.3,0.6,0.55,0.8,2
LIDENFILMS 京都 Studio,1.2,1.6,1.6,2.0,2
Children's Playground Entertainment,0.6,7.4,7.3999999999999995,14.2,2
CONNECT,3.1,7.0,6.95,10.8,2
横浜アニメーションラボ,4.0,6.2,6.15,8.3,2
Millepensee,23.0,27.8,27.75,32.5,2
studio A-CAT,11.0,11.0,11.05,11.1,2
BANDAI SPIRITS、SUNRISE BEYOND,1.6,2.6,2.6,3.6,2
Bandai Namco Pictures,10.5,16.6,16.55,22.6,2
Asread,11.3,11.3,11.3,11.3,1
Wolfsbane,11.2,11.2,11.2,11.2,1
いらゐあす,7.8,7.8,7.8,7.8,1
asread.×studio MOTHER,15.9,15.9,15.9,15.9,1
Arvo Animation,4.8,4.8,4.8,4.8,1
teamヤマヒツヂ／スタジオコロリド,10.2,10.2,10.2,10.2,1
studio HōKIBOSHI,1.8,1.8,1.8,1.8,1
AtelierPontdarc,7.8,7.8,7.8,7.8,1
studio Pierrot,1.9,1.9,1.9,1.9,1
ZERO-G×Liber,8.6,8.6,8.6,8.6,1
feel.、GAINA,10.8,10.8,10.8,10.8,1
studio HOKIBOSHI,3.6,3.6,3.6,3.6,1
WolfsBane×Animation StudiO Seven,4.7,4.7,4.7,4.7,1
studio MOTHER,12.3,12.3,12.3,12.3,1
studio Palette,20.8,20.8,20.8,20.8,1
のびしろラボ,3.3,3.3,3.3,3.3,1
EMT Squared×Magic Bus,16.6,16.6,16.6,16.6,1
アドネロ,8.0,8.0,8.0,8.0,1
朱夏,4.0,4.0,4.0,4.0,1
新銳動畫 Synergy SP,5.5,5.5,5.5,5.5,1
新銳動畫、Green-hearts,8.8,8.8,8.8,8.8,1
新銳動畫、Japan Green Hearts,3.2,3.2,3.2,3.2,1
日本アニメーション、OLM,1.1,1.1,1.1,1.1,1
日本動畫公司,1.0,1.0,1.0,1.0,1
旭プロダクション,2.0,2.0,2.0,2.0,1
東映動畫,4.6,4.6,4.6,4.6,1
手塚製作公司、Okuruto Noboru,14.0,14.0,14.0,14.0,1
橫濱アニメーションラボ,1.5,1.5,1.5,1.5,1
橫濱動畫研究所,20.2,20.2,20.2,20.2,1
雲雀工作室,0.3,0.3,0.3,0.3,1
颱風Graphics,5.1,5.1,5.1,5.1,1
颱風グラフィックス,1.2,1.2,1.2,1.2,1
龍之子製作,1.6,1.6,1.6,1.6,1
A.C.G.T,2.8,2.8,2.8,2.8,1
手塚製作,5.1,5.1,5.1,5.1,1
サエッタ,1.2,1.2,1.2,1.2,1
WIT STUDIO×SIGNAL.MD,0.9,0.9,0.9,0.9,1
サブリメイション,0.8,0.8,0.8,0.8,1
シンエイ動画,10.3,10.3,10.3,10.3,1
タツノコプロ・日本アニメーション,0.3,0.3,0.3,0.3,1
テレビ東京,0.9,0.9,0.9,0.9,1
パッショーネ,9.8,9.8,9.8,9.8,1
ビジュアルフライト,0.8,0.8,0.8,0.8,1
ランチ・BOX×スタジオエル,2.2,2.2,2.2,2.2,1
手塚プロダクション、タツノコプロ,0.5,0.5,0.5,0.5,1
ARVO ANIMATION,12.8,12.8,12.8,12.8,1
AIC,1.7,1.7,1.7,1.7,1
動畫工房 (DOGAKOBO),64.2,64.2,64.2,64.2,1
壽門堂,6.4,6.4,6.4,6.4,1
手塚Production,14.3,14.3,14.3,14.3,1
手塚プロダクション,7.1,7.1,7.1,7.1,1
ピー・アール・エー,2.5,2.5,2.5,2.5,1
BLADE,3.8,3.8,3.8,3.8,1
WIT STUDIO×CloverWorks,70.4,70.4,70.4,70.4,1
Team Till Dawn,0.3,0.3,0.3,0.3,1
OLM × SUNRISE BEYOND,3.0,3.0,3.0,3.0,1
OLM Team Yoshioka,15.6,15.6,15.6,15.6,1
OLM Team Abe,0.3,0.3,0.3,0.3,1
NUT,12.8,12.8,12.8,12.8,1
NAS,3.0,3.0,3.0,3.0,1
MAPPA、Lapintrack,1.7,1.7,1.7,1.7,1
MAPPA×MADHOUSE,13.3,13.3,13.3,13.3,1
MAHO FILM.,7.3,7.3,7.3,7.3,1
CLOUD HEARTS,9.6,9.6,9.6,9.6,1
Lapin Track,1.0,1.0,1.0,1.0,1
LIDENFILMS、domerica,2.0,2.0,2.0,2.0,1
LIDENFILMS、FelixFilm,4.7,4.7,4.7,4.7,1
DMM.futureworks、W-Toon Studio,1.9,1.9,1.9,1.9,1
Kinema Citrus、岐阜Animation、STUDIO JEMI,0.2,0.2,0.2,0.2,1
Kinema Citrus、ぎふとアニメーション、STUDIO JEMI,0.3,0.3,0.3,0.3,1
KINEMA CITRUS、DRMOVIE,17.5,17.5,17.5,17.5,1
DOMERICA × SHIN-EI ANIMATION,1.0,1.0,1.0,1.0,1
IMAGICA Lab.,1.7,1.7,1.7,1.7,1
Graphinica、橫浜動畫研究所,1.2,1.2,1.2,1.2,1
GoHands,1.0,1.0,1.0,1.0,1
Geno Studio,10.6,10.6,10.6,10.6,1
GENO STUDIO,1.0,1.0,1.0,1.0,1
GEEKTOYS,0.9,0.9,0.9,0.9,1
GALLOP,5.4,5.4,5.4,5.4,1
FelixFilm,8.5,8.5,8.5,8.5,1
Fanworks Inc.,0.1,0.1,0.1,0.1,1
FLAGSHIP LINE、ゆめ太カンパニー、Graphinica,4.7,4.7,4.7,4.7,1
FLAGSHIP LINE×夢太公司×Graphinica,1.9,1.9,1.9,1.9,1
Ezo'la,5.6,5.6,5.6,5.6,1
OZ,5.9,5.9,5.9,5.9,1
Orange,4.8,4.8,4.8,4.8,1
P.A.WORKS×Studio 3Hz,1.3,1.3,1.3,1.3,1
