動畫名,總觀看數,平均觀看數,年份,月份,集數,星級,評分人數,導演監督,製作廠商,作品分類1,作品分類2,作品分類3,作品分類4,作品分類5,作品分類6,原作載體,新續作,人氣度,觀看數(萬)
叫我對大哥 (TV版),217000,18083,2021,夏番,12,4.8,600,青木純,Fanworks、SPACE NEKO COMPANY,喜劇,悠閒,泡麵番,闔家觀賞,,,漫畫改編,新作,0,2
汪汪與喵喵,66000,2750,2020,秋番,24,4.8,200,岸誠二,Team Till Dawn,喜劇,溫馨,泡麵番,闔家觀賞,,,漫畫改編,新作,0,0
鬼滅之刃 刀匠村篇,5488000,498909,2023,春番,11,4.8,18600,外崎春雄,ufotable,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,3,50
IDOLiSH7 - 偶像星願 - Third BEAT！,560000,18667,2021,夏番,30,4.8,1300,別所誠人,TROYCA,偶像,音樂,,,,,遊戲改編,續作,0,2
薄櫻鬼 新OVA,49000,16333,2021,秋番,3,4.8,300,ヤマサキオサム,Studio DEEN,奇幻,戀愛,歷史,,,,遊戲改編,續作,0,2
機戰少女 Alice Expansion,94000,7833,2023,春番,12,4.5,700,花井宏和,NOMAD,科幻,機甲,喜劇,,,,遊戲改編,新作,0,1
機動戰士鋼彈 水星的魔女 Season 2,1451000,120917,2023,春番,12,4.9,8600,⼩林寬,SUNRISE,科幻,機甲,校園,戰爭,,,原創作品,續作,1,12
小鳥之翼 第二季,151000,12583,2023,春番,12,4.8,1300,稲垣隆行,BN Pictures,運動,競技,,,,,原創作品,續作,0,1
境界服務,13000,1083,2023,春番,12,3.8,100,迫井政行,Studio 3Hz,動作,科幻,喜劇,職場,,,原創作品,新作,0,0
真・進化果實～不知不覺踏上勝利的人生～,472000,39333,2023,冬番,12,2.9,3200,奧村吉昭,HOTLINE,冒險,奇幻,,,,,小說改編,新作,0,4
DECA - DENCE,1663000,127923,2020,春番,13,4.9,6000,立川讓,NUT,動作,冒險,科幻,,,,原創作品,新作,1,13
噴嚏大魔王 2020,66000,3300,2020,春番,20,4.2,100,濁川敦,タツノコプロ・日本アニメーション,冒險,喜劇,闔家觀賞,,,,原創作品,新作,0,0
BUILD-DIVIDE -#000000- CODE BLACK,194000,16167,2021,秋番,12,3.9,600,駒田由貴,LIDENFILMS,超能力,科幻,競技,,,,原創作品,新作,0,2
在地下城尋求邂逅是否搞錯了什麼 第三季,4113000,316385,2020,秋番,13,4.8,5500,橘秀樹,J.C.STAFF,動作,冒險,奇幻,,,,小說改編,續作,2,32
我家的英雄,607000,50583,2023,春番,12,4.8,3900,龜井隆,手塚製作,親情,懸疑,黑暗,,,,漫畫改編,新作,0,5
屍體如山的死亡遊戲,2678000,133900,2023,春番,20,4.8,10100,小野學,GEEK TOYS,動作,冒險,異世界,血腥暴力,,,漫畫改編,續作,1,13
【我推的孩子】,7065000,642273,2023,春番,11,4.9,52600,平牧大輔,動畫工房 (DOGAKOBO),親情,偶像,懸疑,,,,漫畫改編,新作,3,64
擁有超常技能的異世界流浪美食家,3465000,288750,2023,冬番,12,4.9,22100,松田清,MAPPA,冒險,奇幻,異世界,料理,,,小說改編,新作,2,29
久保同學不放過我,1412000,117667,2023,冬番,12,4.9,12700,古賀一臣,PINE JAM,校園,戀愛,青春,,,,漫畫改編,新作,1,12
狩火之王,163000,16300,2023,冬番,10,4.7,900,西村純二,SIGNAL.MD,冒險,奇幻,,,,,小說改編,新作,0,2
被解僱的暗黑士兵（30多歲）開始了慢生活的第二人生,1403000,116917,2023,冬番,12,4.7,5300,追崎史敏,ENCOURAGE FILMS,冒險,奇幻,,,,,小說改編,新作,1,12
艦隊 Collection 總有一天，在那片海,14000,1750,2022,秋番,8,4.3,200,三浦和也,ENGI,機甲,歷史,戰爭,,,,遊戲改編,續作,0,0
絆之 Allele,103000,8583,2023,春番,12,4.2,1300,駒屋健一郎,WIT STUDIO×SIGNAL.MD,校園,偶像,音樂,,,,原創作品,新作,0,1
在地下城尋求邂逅是否搞錯了什麼 第四季,5268000,229043,2023,冬番,23,4.8,13100,橘秀樹,J.C.STAFF,動作,冒險,奇幻,,,,小說改編,續作,2,23
魔法使的新娘 第二季,1067000,50810,2023,春番,21,4.9,5100,寺澤和晃,STUDIO KAFKA,冒險,奇幻,魔法,戀愛,溫馨,,漫畫改編,續作,0,5
