動畫名,年份,月份,集數,星級,評分人數,導演監督,製作廠商,作品分類1,作品分類2,作品分類3,作品分類4,作品分類5,作品分類6,原作載體,新續作,平均觀看數(萬),總觀看數(萬)
進化果實～不知不覺踏上勝利的人生～,2021,秋番,12,3.1,6900,奥村よしあき,HOTLINE,冒險,奇幻,異世界,,,,小說改編,新作,14.0,168.0
異世界魔王與召喚少女的奴隸魔術 Ω,2021,春番,10,4.6,2400,桑原智,手塚製作公司、Okuruto Noboru,冒險,奇幻,異世界,魔法,喜劇,,小說改編,續作,14.0,140.5
世界盡頭的聖騎士,2021,秋番,12,4.3,4300,信田ユウ,Children's Playground Entertainment,冒險,奇幻,魔法,,,,小說改編,續作,14.2,170.0
無能力者娜娜,2020,夏番,13,4.7,3800,石平信司,Bridge,超能力,校園,推理,懸疑,黑暗,,漫畫改編,新作,14.2,184.3
女朋友 and 女朋友,2021,夏番,12,4.6,5100,桑原智,手塚Production,校園,戀愛,,,,,漫畫改編,續作,14.3,171.8
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,2023,冬番,12,4.6,6500,大沼心、田村正文,SILVER LINK.,冒險,奇幻,,,,,小說改編,續作,14.3,171.8
失格紋的最強賢者,2022,冬番,12,3.1,6800,秋田谷典昭,J.C.STAFF,冒險,奇幻,魔法,,,,小說改編,新作,14.4,173.4
約定的夢幻島 第二季,2021,冬番,12,3.4,3700,神戶守,CloverWorks,冒險,懸疑,黑暗,,,,漫畫改編,續作,14.6,175.2
地縛少年花子君,2020,冬番,12,4.9,2900,安藤正臣,Lerche,校園,靈異神怪,,,,,漫畫改編,新作,14.6,175.1
不要欺負我，長瀞同學,2021,春番,12,4.8,5200,花井宏和,Telecom Animation Film,校園,喜劇,戀愛,青春,,,漫畫改編,續作,14.6,175.6
轉生成女性向遊戲只有毀滅 END 的壞人大小姐 X,2021,夏番,13,4.9,4600,井上圭介,SILVER LINK.,異世界,喜劇,戀愛,,,,小說改編,續作,14.6,189.2
怪物事變,2021,冬番,12,4.9,3700,藤森雅也,亞細亞堂,動作,冒險,靈異神怪,,,,漫畫改編,新作,15.0,179.9
聖女魔力無所不能,2021,春番,12,4.7,3100,井畑翔太,diomedéa,異世界,魔法,戀愛,,,,小說改編,續作,15.4,184.5
我的英雄學院 第六季,2022,秋番,25,4.8,9000,長崎健司、向井雅浩,BONES,動作,超能力,校園,勵志,,,漫畫改編,續作,15.5,388.2
我們的重製人生,2021,夏番,12,4.8,6500,小林智樹,feel.,校園,青春,勵志,時間穿越,,,小說改編,新作,15.5,186.4
與變成了異世界美少女的大叔一起冒險,2022,冬番,12,4.9,8100,山井紗也香,OLM Team Yoshioka,冒險,奇幻,異世界,魔法,喜劇,,漫畫改編,新作,15.6,187.1
契約之吻,2022,夏番,13,4.7,9900,田中智也,A-1 Pictures,動作,奇幻,科幻,喜劇,戀愛,,原創作品,新作,15.8,204.8
Fate/Grand Carnival,2021,春番,2,4.9,3200,岸 誠二,Lerche,奇幻,喜劇,,,,,遊戲改編,新作,15.8,31.6
平凡職業造就世界最強 第二季,2022,冬番,15,4.7,7000,岩永彰,asread.×studio MOTHER,動作,冒險,奇幻,異世界,魔法,,小說改編,續作,15.9,238.1
黑之召喚士,2022,夏番,12,4.7,6100,平池芳正,SATELIGHT,動作,冒險,奇幻,異世界,魔法,,小說改編,新作,16.0,191.6
偵探已經，死了。,2021,夏番,12,4.1,6000,栗原學,ENGI,動作,奇幻,超能力,戀愛,推理,,小說改編,新作,16.2,193.9
路人超能 100 第三季,2022,秋番,12,5.0,14000,立川讓、蓮井隆弘,BONES,動作,超能力,勵志,溫馨,感人,靈異神怪,漫畫改編,續作,16.2,194.2
被勇者隊伍開除的馭獸使，邂逅了最強種的貓耳少女,2022,秋番,13,4.5,8100, 濁川敦,EMT Squared,冒險,奇幻,魔法,,,,小說改編,新作,16.5,214.8
轉生貴族的異世界冒險錄～不知自重的眾神使徒～,2023,春番,12,3.9,9000,中村憲由,EMT Squared×Magic Bus,冒險,奇幻,異世界,,,,小說改編,新作,16.6,198.9
轉生公主與天才千金的魔法革命,2023,冬番,12,4.9,15400,玉木慎吾,diomedéa,冒險,奇幻,異世界,戀愛,GL,,小說改編,新作,16.9,203.3
我立於百萬生命之上,2020,秋番,12,4.1,2100,羽原久美子,MAHO FILM,動作,冒險,奇幻,異世界,魔法,,漫畫改編,續作,17.3,208.1
奇巧計程車,2021,春番,13,4.9,7800,木下麥,P.I.C.S. × OLM,推理,懸疑,,,,,原創作品,新作,17.4,226.8
盾之勇者成名錄 Season 2,2022,春番,13,3.8,7700,神保昌登,KINEMA CITRUS、DRMOVIE,冒險,奇幻,異世界,魔法,,,小說改編,續作,17.5,228.0
我的英雄學院 OVA：活下來！殊死的生存訓練,2020,夏番,2,4.8,1000,長崎健司、向井雅浩,BONES,動作,超能力,校園,勵志,,,漫畫改編,續作,17.6,35.2
轉生成女性向遊戲只有毀滅 END 的壞人大小姐,2020,春番,12,4.9,4700,井上圭介,SILVER LINK.,異世界,喜劇,戀愛,,,,小說改編,新作,17.6,210.9
格萊普尼爾,2020,春番,13,4.6,3200,米田和弘,PINE JAM,動作,超能力,懸疑,血腥暴力,靈異神怪,,漫畫改編,新作,17.6,229.4
東京復仇者,2021,冬番,25,4.4,4300,初見浩一,LIDENFILMS,動作,推理,懸疑,時間穿越,,,漫畫改編,續作,17.9,447.3
Dr.STONE 新石紀 (龍水),2022,夏番,2,4.9,3500,松下周平,TMS Entertainment,動作,冒險,奇幻,科幻,勵志,,漫畫改編,續作,18.0,36.0
機動戰士鋼彈 水星的魔女,2022,夏番,13,4.8,10600,小林寬,SUNRISE,科幻,機甲,校園,戰爭,,,原創作品,新作,18.1,235.4
佐賀偶像是傳奇 捲土重來,2021,春番,12,5.0,10300,境宗久,MAPPA,喜劇,勵志,偶像,音樂,,,原創作品,續作,18.2,218.8
異世界藥局,2022,夏番,12,4.8,7900,草川啓造,diomedéa,奇幻,異世界,,,,,小說改編,新作,18.3,219.9
式守同學不只可愛而已,2022,春番,14,4.8,13100,伊藤良太,動画工房,校園,戀愛,,,,,漫畫改編,新作,18.4,257.6
史上最強大魔王轉生為村民 A,2022,春番,12,3.3,8200,湊未來,SILVER LINK.×BLADE,冒險,奇幻,魔法,,,,小說改編,新作,18.7,224.6
熊熊勇闖異世界,2020,夏番,12,4.7,4400,信田ユウ,EMT Squared,動作,冒險,奇幻,異世界,,,小說改編,續作,19.0,228.2
我內心的糟糕念頭,2023,春番,12,4.9,18800,赤城博昭,新銳動畫,校園,喜劇,戀愛,,,,漫畫改編,新作,19.2,230.4
輝夜姬想讓人告白－永不結束的初吻－,2023,春番,4,5.0,11200,畠山守,A-1 Pictures,校園,喜劇,戀愛,,,,漫畫改編,續作,19.7,78.8
關於我在無意間被隔壁的天使變成廢柴這件事,2023,冬番,12,4.7,13200,王麗花,project No.9,校園,戀愛,溫馨,,,,小說改編,新作,19.8,238.0
眾神眷顧的男人,2020,秋番,12,4.5,3200,柳瀬雄之,MAHO FILM,奇幻,異世界,魔法,,,,小說改編,新作,20.0,240.6
天才王子的赤字國家重生術,2022,冬番,12,4.8,9300,玉川真人,橫濱動畫研究所,奇幻,喜劇,戰爭,,,,小說改編,新作,20.2,242.7
比方說，這是個出身魔王關附近的少年在新手村生活的故事,2021,冬番,12,4.3,3100,migmi,LIDENFILMS,冒險,奇幻,魔法,,,,小說改編,新作,20.3,244.1
BLEACH 死神 千年血戰篇,2022,秋番,13,4.9,11300,田口智久,Studio Pierrot,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,20.3,264.5
戰鬥員派遣中！,2021,春番,12,4.8,5100,赤城博昭,J.C.STAFF,動作,冒險,奇幻,喜劇,,,小說改編,新作,20.4,244.7
藍色監獄,2022,秋番,24,4.9,12300,渡邊徹明、石川俊介,8bit,動作,運動,競技,,,,漫畫改編,新作,20.5,492.1
魔女之旅,2020,秋番,12,4.9,7900,窪岡俊之,C2C,冒險,奇幻,魔法,血腥暴力,黑暗,,小說改編,新作,20.6,247.1
為美好的世界獻上爆焰！,2023,春番,12,4.9,18500,安部祐二郎,Drive,奇幻,魔法,校園,喜劇,,,小說改編,續作,20.7,248.3
無神世界的神明活動,2023,春番,12,4.9,14900,稻葉友紀,studio Palette,冒險,奇幻,,,,,漫畫改編,新作,20.8,249.6
勇者、辭職不幹了,2022,春番,12,4.7,11200,信田ユウ、石井久志,EMT Squared,動作,冒險,奇幻,,,,小說改編,續作,21.2,254.8
前輩有夠煩,2021,秋番,12,5.0,16900,伊藤良太,動画工房,戀愛,職場,,,,,漫畫改編,新作,21.2,254.6
繼母的拖油瓶是我的前女友,2022,夏番,12,4.8,10800,柳伸亮,project No.9,校園,喜劇,戀愛,,,,小說改編,新作,21.3,255.6
怕痛的我，把防禦力點滿就對了 第二季,2023,冬番,12,4.8,11500,大沼心,SILVER LINK.,冒險,奇幻,喜劇,,,,小說改編,續作,22.3,267.3
持續狩獵史萊姆三百年，不知不覺就練到 LV MAX,2021,春番,12,4.8,5200,木村延景,REVOROOT,冒險,奇幻,異世界,魔法,,,小說改編,新作,22.3,268.0
和山田談場 Lv999 的戀愛,2023,春番,13,4.9,15400,淺香守生,MADHOUSE,喜劇,戀愛,,,,,漫畫改編,新作,22.3,289.5
來自深淵 烈日的黃金鄉,2022,夏番,12,5.0,15700,小島正幸,Kinema Citrus,冒險,奇幻,血腥暴力,黑暗,,,漫畫改編,續作,22.5,269.6
入間同學入魔了！第二季,2021,春番,21,4.9,5700,森脇真琴,Bandai Namco Pictures,冒險,奇幻,校園,喜劇,靈異神怪,,漫畫改編,續作,22.6,473.8
