導演監督,製作廠商,作品分類1,作品分類2,作品分類3,作品分類4,作品分類5,作品分類6,原作載體,新續作,人氣度
青木純,Fanworks、SPACE NEKO COMPANY,喜劇,悠閒,泡麵番,闔家觀賞,,,漫畫改編,新作,1
岸誠二,Team Till Dawn,喜劇,溫馨,泡麵番,闔家觀賞,,,漫畫改編,新作,0
外崎春雄,ufotable,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,4
別所誠人,TROYCA,偶像,音樂,,,,,遊戲改編,續作,1
ヤマサキオサム,Studio DEEN,奇幻,戀愛,歷史,,,,遊戲改編,續作,1
花井宏和,NOMAD,科幻,機甲,喜劇,,,,遊戲改編,新作,0
⼩林寬,SUNRISE,科幻,機甲,校園,戰爭,,,原創作品,續作,2
稲垣隆行,BN Pictures,運動,競技,,,,,原創作品,續作,0
迫井政行,Studio 3Hz,動作,科幻,喜劇,職場,,,原創作品,新作,0
奧村吉昭,HOTLINE,冒險,奇幻,,,,,小說改編,新作,1
立川讓,NUT,動作,冒險,科幻,,,,原創作品,新作,2
濁川敦,タツノコプロ・日本アニメーション,冒險,喜劇,闔家觀賞,,,,原創作品,新作,0
駒田由貴,LIDENFILMS,超能力,科幻,競技,,,,原創作品,新作,1
橘秀樹,J.C.STAFF,動作,冒險,奇幻,,,,小說改編,續作,3
龜井隆,手塚製作,親情,懸疑,黑暗,,,,漫畫改編,新作,1
小野學,GEEK TOYS,動作,冒險,異世界,血腥暴力,,,漫畫改編,續作,2
平牧大輔,動畫工房 (DOGAKOBO),親情,偶像,懸疑,,,,漫畫改編,新作,4
松田清,MAPPA,冒險,奇幻,異世界,料理,,,小說改編,新作,3
古賀一臣,PINE JAM,校園,戀愛,青春,,,,漫畫改編,新作,2
西村純二,SIGNAL.MD,冒險,奇幻,,,,,小說改編,新作,1
追崎史敏,ENCOURAGE FILMS,冒險,奇幻,,,,,小說改編,新作,2
三浦和也,ENGI,機甲,歷史,戰爭,,,,遊戲改編,續作,0
駒屋健一郎,WIT STUDIO×SIGNAL.MD,校園,偶像,音樂,,,,原創作品,新作,0
