副標籤,溫馨,泡麵番,超能力,青春,校園,靈異神怪,魔法,偶像,料理,勵志,BL,血腥暴力,18禁,音樂,喜劇,競技,闔家觀賞,懸疑,戀愛,異世界,科幻,冒險,時間穿越,推理,奇幻,親情,黑暗,感人,戰爭,特攝,機甲,動作,歷史,職場,悠閒,運動
冒險,9.3,0.0,11.11,0.0,3.81,31.25,60.42,0.0,25.0,13.51,0.0,47.62,0.0,0.0,16.67,0.0,6.67,8.33,4.23,62.26,25.0,0.0,40.0,0.0,68.97,0.0,42.86,40.0,28.57,0.0,13.33,47.37,18.18,0.0,0.0,0.0
動作,4.65,0.0,48.15,0.0,9.52,25.0,27.08,0.0,0.0,21.62,0.0,66.67,0.0,8.82,10.78,11.76,0.0,16.67,7.04,26.42,40.38,34.88,40.0,23.53,24.83,0.0,14.29,0.0,28.57,0.0,26.67,0.0,18.18,13.64,0.0,13.79
勵志,11.63,0.0,14.81,22.03,10.48,0.0,0.0,17.39,0.0,0.0,0.0,0.0,0.0,23.53,3.92,20.59,6.67,0.0,0.0,3.77,5.77,3.88,40.0,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,8.42,0.0,18.18,0.0,34.48
喜劇,23.26,60.71,7.41,15.25,24.76,18.75,18.75,8.7,0.0,10.81,0.0,0.0,62.5,11.76,0.0,0.0,50.0,0.0,35.21,18.87,11.54,13.18,0.0,0.0,20.69,33.33,0.0,0.0,0.0,100.0,13.33,11.58,27.27,27.27,78.95,0.0
奇幻,18.6,7.14,11.11,0.0,14.29,25.0,83.33,0.0,25.0,18.92,0.0,42.86,50.0,5.88,29.41,0.0,0.0,12.5,23.94,75.47,13.46,77.52,0.0,0.0,0.0,16.67,35.71,40.0,21.43,0.0,0.0,37.89,0.0,0.0,0.0,0.0
戀愛,18.6,14.29,0.0,23.73,28.57,6.25,6.25,0.0,0.0,0.0,50.0,0.0,25.0,0.0,24.51,0.0,0.0,0.0,0.0,13.21,11.54,2.33,0.0,11.76,11.72,16.67,0.0,0.0,0.0,0.0,13.33,5.26,18.18,18.18,0.0,0.0
校園,16.28,10.71,33.33,62.71,0.0,21.88,25.0,43.48,0.0,29.73,0.0,14.29,0.0,41.18,25.49,29.41,20.0,8.33,42.25,5.66,15.38,3.1,0.0,11.76,10.34,25.0,21.43,0.0,14.29,0.0,13.33,10.53,0.0,0.0,0.0,34.48
悠閒,13.95,21.43,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,14.71,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0
感人,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
料理,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,3.77,0.0,1.55,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,0.0
